Tray_ID
500125525
500209901
500227491
500237051
500283873
500288750
500289820
500289821
500377825
500390261
5002720318
500253654X
500300257X
500316867X
500319672X
500322975X
500337378X
500337384X
500349947X
500355085X


PCG	PARAMETER_VALUE
Molded XG736	500253654
Jefferson Peak	500289821
Molded Titan Ridge	500237051
XG-756 B0 ICE	500349947
Jefferson Peak A1	500289821
Harrison Peak 2	500289821
XG-766 250UM STREET	500377825
Alpine Ridge	500237051
Cooper Bridge	500209901
XG727	500125525
Sue Creek 150 Mold Cap	500319672
Monette Hill 550	500316867
XG748	500288750
Bandos A0	500322975
Delta Bridge	500209901
Thunder peak 2	500289820
XG-742 IBIS DC	500337384
Burnside Bridge	500209901
XG-743	500337384
Mystery Ridge 3 TV	500209901
Cannon Lake PCH Mold	500300257
Goshen Ridge	500237051
Maple Ridge	500237051
Elixir Springs	500355085
Harrison Peak 1 iSFE	500390261
Lakefield	500125525
